user_index,user_total_rows,utility_popularity,coherence,history_length_mean,v1_ndcg10,core_ndcg10,delta_ndcg10,v1_hit10,core_hit10,delta_hit10,v1_rank,core_rank,delta_rank,utility_bucket
6661,4,0.5624999850988388,0.88601154088974,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2241.5,1963.5,-278.0,Q2
6662,4,0.5224999878555536,0.8763475865125656,10.0,0.0,0.0,0.0,0.0,0.0,0.0,766.75,695.25,-71.5,Q2
6663,4,0.622499980032444,0.8908634036779404,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3445.75,2632.25,-813.5,Q3
6664,4,0.5974999852478504,0.8845218569040298,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1437.5,1163.5,-274.0,Q3
6665,4,0.5549999848008156,0.8890869170427322,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1653.75,1431.0,-222.75,Q2
6666,4,0.32999999821186066,0.9157117605209351,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3374.0,644.75,-2729.25,Q1
6667,4,0.697499968111515,0.8910557776689529,10.0,0.0,0.07226620614528656,-0.07226620614528656,0.0,0.25,-0.25,1104.5,615.5,-489.0,Q4
6668,4,0.7549999803304672,0.903049036860466,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3039.5,1436.5,-1603.0,Q4
6669,4,0.5349999889731407,0.888060137629509,10.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,326.0,114.0,Q2
6670,4,0.4924999922513962,0.885219469666481,10.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,73.75,-61.25,Q2
6671,4,0.6524999812245369,0.9116670042276382,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3173.25,1690.5,-1482.75,Q3
6672,4,0.7374999970197678,0.9120158553123474,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3561.25,2765.25,-796.0,Q4
6673,4,0.562499972525984,0.8927241265773773,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,714.0,-298.0,Q2
6674,4,0.7125000059604645,0.8838071078062057,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2152.75,1275.25,-877.5,Q4
6675,4,0.8262499868869781,0.8898958116769791,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2493.25,1068.75,-1424.5,Q4
6676,4,0.5299999862909317,0.8883662521839142,10.0,0.0,0.125,-0.125,0.0,0.25,-0.25,678.5,499.75,-178.75,Q2
6677,4,0.7399999871850014,0.8851671516895294,10.0,0.0,0.07525750249624252,-0.07525750249624252,0.0,0.25,-0.25,46.0,103.75,57.75,Q4
