user_index,user_total_rows,utility_popularity,coherence,history_length_mean,v1_ndcg10,core_ndcg10,delta_ndcg10,v1_hit10,core_hit10,delta_hit10,v1_rank,core_rank,delta_rank,utility_bucket
140,4,0.32250000163912773,0.8632384538650513,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1792.5,1296.0,-496.5,Q1
141,4,0.7699999958276749,0.8818050771951675,10.0,0.08905179798603058,0.07886622101068497,0.010185576975345612,0.25,0.25,0.0,406.75,371.25,-35.5,Q2
142,4,0.5449999831616879,0.8819257020950317,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1049.75,451.25,-598.5,Q1
143,4,0.927499994635582,0.8874320983886719,10.0,0.0,0.0,0.0,0.0,0.0,0.0,142.75,605.75,463.0,Q4
144,4,0.6262499839067459,0.8921258747577667,10.0,0.0,0.09671320766210556,-0.09671320766210556,0.0,0.25,-0.25,200.25,163.5,-36.75,Q1
145,4,0.8324999809265137,0.886586382985115,10.0,0.0,0.0,0.0,0.0,0.0,0.0,306.25,295.25,-11.0,Q3
146,4,0.8737499862909317,0.8874594420194626,10.0,0.0,0.0,0.0,0.0,0.0,0.0,488.75,503.5,14.75,Q4
147,4,0.6374999936670065,0.8668771535158157,10.0,0.0,0.0833333358168602,-0.0833333358168602,0.0,0.25,-0.25,458.75,100.0,-358.75,Q1
148,4,0.867499977350235,0.8768569976091385,10.0,0.15773244202136993,0.375,-0.21726755797863007,0.25,0.5,-0.25,204.75,25.25,-179.5,Q3
149,4,0.688749972730875,0.8826063573360443,10.0,0.0,0.09671320766210556,-0.09671320766210556,0.0,0.25,-0.25,191.25,197.0,5.75,Q2
150,4,0.6674999892711639,0.8767873346805573,10.0,0.0,0.09671320766210556,-0.09671320766210556,0.0,0.25,-0.25,279.25,141.75,-137.5,Q2
151,4,0.8374999761581421,0.8877333849668503,10.0,0.125,0.0,0.125,0.25,0.0,0.25,168.5,362.25,193.75,Q3
152,4,0.684999980032444,0.8798083066940308,10.0,0.0,0.0,0.0,0.0,0.0,0.0,474.75,220.25,-254.5,Q2
153,4,0.8524999693036079,0.9042252153158188,10.0,0.0,0.0,0.0,0.0,0.0,0.0,171.5,82.75,-88.75,Q3
154,4,0.5974999889731407,0.8768444806337357,10.0,0.0,0.0,0.0,0.0,0.0,0.0,406.75,192.0,-214.75,Q1
155,4,0.8549999743700027,0.8911980539560318,10.0,0.07226620614528656,0.10766914486885071,-0.03540293872356415,0.25,0.25,0.0,122.25,19.0,-103.25,Q3
156,4,0.8487499803304672,0.8732699602842331,10.0,0.26540158689022064,0.28273244202136993,-0.017330855131149292,0.5,0.5,0.0,100.5,31.25,-69.25,Q3
157,4,0.6599999889731407,0.882331371307373,10.0,0.0,0.40773244202136993,-0.40773244202136993,0.0,0.5,-0.5,364.75,136.25,-228.5,Q2
158,4,0.9374999850988388,0.9014824628829956,10.0,0.17557942867279053,0.40773244202136993,-0.2321530133485794,0.5,0.5,0.0,18.25,18.0,-0.25,Q4
159,4,0.6937499810010195,0.8859890252351761,10.0,0.0,0.23298994451761246,-0.23298994451761246,0.0,0.5,-0.5,133.5,395.75,262.25,Q2
160,4,0.9349999725818634,0.8893928676843643,10.0,0.15773244202136993,0.34065908938646317,-0.18292664736509323,0.25,0.75,-0.5,15.5,11.25,-4.25,Q4
161,4,0.7199999839067459,0.8865820914506912,10.0,0.0,0.07525750249624252,-0.07525750249624252,0.0,0.25,-0.25,288.5,45.25,-243.25,Q2
162,4,0.38999998290091753,0.8603771924972534,10.0,0.125,0.5607650056481361,-0.43576500564813614,0.25,1.0,-0.75,433.0,3.75,-429.25,Q1
163,4,0.8249999731779099,0.8822532743215561,10.0,0.07525750249624252,0.09671320766210556,-0.021455705165863037,0.25,0.25,0.0,38.0,24.75,-13.25,Q3
164,4,0.347499992698431,0.8783295154571533,10.0,0.0,0.0,0.0,0.0,0.0,0.0,447.5,353.25,-94.25,Q1
165,4,0.6124999970197678,0.884765550494194,10.0,0.0,0.0,0.0,0.0,0.0,0.0,218.25,395.0,176.75,Q1
166,4,0.9262499660253525,0.892653301358223,10.0,0.35115885734558105,0.4502575024962425,-0.09909864515066147,0.75,0.75,0.0,30.5,201.75,171.25,Q4
167,4,0.4899999871850014,0.8785620480775833,10.0,0.0,0.15773244202136993,-0.15773244202136993,0.0,0.25,-0.25,1287.25,785.0,-502.25,Q1
168,4,0.7024999931454659,0.8941092044115067,10.0,0.0,0.0833333358168602,-0.0833333358168602,0.0,0.25,-0.25,345.5,53.0,-292.5,Q2
169,4,0.7199999839067459,0.8778540343046188,10.0,0.15773244202136993,0.125,0.032732442021369934,0.25,0.25,0.0,683.5,155.5,-528.0,Q2
170,4,0.6549999862909317,0.8759474009275436,10.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,223.75,97.75,Q2
171,4,0.6799999848008156,0.8772746175527573,10.0,0.0,0.0,0.0,0.0,0.0,0.0,852.5,732.5,-120.0,Q2
172,4,0.6125000007450581,0.885165736079216,10.0,0.0,0.2083333358168602,-0.2083333358168602,0.0,0.5,-0.5,869.5,197.5,-672.0,Q1
173,4,0.4899999825283885,0.8642123937606812,10.0,0.08905179798603058,0.125,-0.03594820201396942,0.25,0.25,0.0,527.25,330.0,-197.25,Q1
174,4,0.8212499916553497,0.8986774682998657,10.0,0.0,0.0833333358168602,-0.0833333358168602,0.0,0.25,-0.25,91.75,31.25,-60.5,Q3
175,4,0.5924999862909317,0.8693615645170212,10.0,0.0,0.10766914486885071,-0.10766914486885071,0.0,0.25,-0.25,121.0,38.75,-82.25,Q1
176,4,0.8699999898672104,0.8828031569719315,10.0,0.0,0.08905179798603058,-0.08905179798603058,0.0,0.25,-0.25,163.25,303.0,139.75,Q4
177,4,0.8024999648332596,0.8972562998533249,10.0,0.0,0.20438235253095627,-0.20438235253095627,0.0,0.5,-0.5,144.75,54.75,-90.0,Q3
178,4,0.8974999785423279,0.8954307734966278,10.0,0.15773244202136993,0.31546488404273987,-0.15773244202136993,0.25,0.5,-0.25,211.75,357.25,145.5,Q4
